brand,model,network_technology,2G_bands,3G_bands,4G_bands,network_speed,GPRS,EDGE,announced,status,dimentions,weight_g,weight_oz,SIM,display_type,display_resolution,display_size,OS,CPU,Chipset,GPU,memory_card,internal_memory,RAM,primary_camera,secondary_camera,loud_speaker,audio_jack,WLAN,bluetooth,GPS,NFC,radio,USB,sensors,battery,colors,approx_price_EUR,img_url,cluster_label,is_outlier
Motorola,V66i,GSM,GSM 900 / 1800 / 1900 ,,,,Class 8,No,2001,Discontinued,84 x 44 x 21 mm (3.31 x 1.73 x 0.83 in),79,2.79,Mini-SIM,Monochrome graphic  Optimax,,96 x 54 pixels| 5 lines,,,,,No,,,,,No,No,No,No,No,,No,,,Removable Li-Ion 500 mAh battery,3,,http://cdn2.gsmarena.com/vv/bigpic/mov66i.gif,0,False
Orange,Malibu,GSM / UMTS,GSM 850 / 900 / 1800 / 1900 ,UMTS 2100 ,,Yes  384 kbps,Yes,Yes,2011,Available,106 x 46 x 13 mm (4.17 x 1.81 x 0.51 in),90,3.17,Mini-SIM,TFT  256K colors,2.0 inches (~25.4% screen-to-body ratio),240 x 320 pixels (~200 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),10 MB,,2 MP,No,Yes,No,No,Yes,No,,FM radio,miniUSB,,Removable Li-Ion 1000 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/orange-malibu.jpg,0,False
Emporia,Connect,GSM / UMTS,GSM 900 / 1800 ,UMTS 900 / 2100 ,,Yes  384 kbps,Yes,Yes,2012,Available,108 x 53 x 20 mm (4.25 x 2.09 x 0.79 in),110,3.88,Mini-SIM,TFT,2.8 inches (~39.0% screen-to-body ratio),240 x 400 pixels (~167 ppi pixel density),,,Qualcomm QSC6270,,microSD  up to 2 GB (dedicated slot),20 MB,64 MB RAM,2 MP,No,Yes,Yes,No,2.1,A-GPS only,,No,Yes,,Removable Li-Ion 1150 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/emporia-emporiaCONNECT.jpg,0,False
ZTE,Grand X2,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,LTE band 2(1900)| 4(1700/2100)| 5(850)| 7(2600)| 12(700)| 17(700),HSPA  LTE,Yes,Yes,2015  August,Available. Released 2015  August,145 x 72.8 x 9.3 mm (5.71 x 2.87 x 0.37 in),145,5.11,Micro-SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~65.3% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 5.1 (Lollipop),Quad-core 1.2 GHz Cortex-A7,Qualcomm MSM8926 Snapdragon 400,Adreno 305,microSD  up to 32 GB (dedicated slot),16 GB,2 GB RAM,8 MP| autofocus| LED flash,2 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,Yes with A-GPS,,To be confirmed,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 2480 mAh battery,Black,130.0,http://cdn2.gsmarena.com/vv/bigpic/zte-grand-x2-new.jpg,0,False
XOLO,One HD,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA 21.1/5.76 Mbps,Yes,Yes,2015  December,Available. Released 2016  January,143 x 72.6 x 9.5 mm (5.63 x 2.86 x 0.37 in),,,Dual SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~66.4% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 5.1 (Lollipop),Quad-core 1.3 GHz Cortex-A7,Mediatek MT6580M,Mali-400MP2,microSD  up to 256 GB,8 GB,1 GB RAM,8 MP| f/2.2| autofocus| LED flash,5 MP| LED flash,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,Yes,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Po 2300 mAh battery,Space Gray| White,,http://cdn2.gsmarena.com/vv/bigpic/xolo-one-hd.jpg,0,False
Huawei,Ascend Y530,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,,HSPA 21.1/5.76 Mbps,Yes,Yes,2014  February,Available. Released 2014  February,132.5 x 67 x 9.3 mm (5.22 x 2.64 x 0.37 in),145,5.11,Micro-SIM,TFT capacitive touchscreen  16M colors,4.5 inches (~62.9% screen-to-body ratio),480 x 854 pixels (~218 ppi pixel density),Android 4.3 (Jelly Bean),Dual-core 1.2 GHz Cortex-A7,Qualcomm MSM8210 Snapdragon 200,Adreno 302,microSD  up to 32 GB (dedicated slot),4 GB,512 MB RAM,5 MP| autofocus| LED flash,VGA,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,Yes with A-GPS GLONASS,,FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 1750 mAh battery,Black| White| Red| Yellow,100.0,http://cdn2.gsmarena.com/vv/bigpic/huawei-y530.jpg,0,False
Huawei,IDEOS S7 Slim CDMA,CDMA / EVDO,CDMA 800 / 1900 ,CDMA2000 1xEV-DO ,,EV-DO Rev.A 3.1 Mbps,No,No,2011  February. Released 2011  Q3,Discontinued,200 x 109.5 x 12.5 mm (7.87 x 4.31 x 0.49 in),440,14.11,Mini-SIM,TFT capacitive touchscreen  256K colors,7.0 inches (~63.7% screen-to-body ratio),480 x 800 pixels (~133 ppi pixel density),Android 2.2 (Froyo),,,,microSD  up to 32 GB (dedicated slot),,,3.15 MP,Yes,Yes with stereo speakers,Yes,Wi-Fi 802.11 b/g/n| hotspot,2.1| A2DP,Yes with A-GPS,,No,microUSB 2.0,Accelerometer| compass,Removable Li-Ion 3250 mAh battery,Black,210.0,http://cdn2.gsmarena.com/vv/bigpic/huawei-ideos-s7-slim.jpg,0,False
Samsung,ZV30,GSM / UMTS,GSM 900 / 1800 / 1900 ,UMTS 2100 ,,Yes  384 kbps,Class 10,No,2005  4Q,Discontinued,89 x 47 x 25.5 mm (3.50 x 1.85 x 1.00 in),110,3.88,Mini-SIM,TFT  256K colors,,176 x 220 pixels,,,,,microSD (dedicated slot),40 MB,,1.3 MP| 180 deg rotating lens| LED flash,No,Yes,No,No,1.1,No,,No,Yes,,Removable Li-Ion 1000 mAh battery (BST474ASEC/STD),Silver,,http://cdn2.gsmarena.com/vv/bigpic/samsung-zv30.gif,0,False
Karbonn,Smart Tab 8,No cellular connectivity, N/A,,,,No,No,2012,Available. Released 2012,-,,,No,TFT capacitive touchscreen,8.0 inches,1024 x 768 pixels (~160 ppi pixel density),Android 4.1.1 (Jelly Bean),Dual-core 1.5 GHz Cortex-A9,,,microSD  up to 32 GB (dedicated slot),1.5 GB,1 GB RAM,3.15 MP,Yes,Yes,Yes,Wi-Fi 802.11 b/g/n,Yes,No,,No,Yes,Accelerometer,Non-removable Li-Ion 4500 mAh battery,Black/White,100.0,http://cdn2.gsmarena.com/vv/bigpic/karbonn-st8.jpg,0,False
Samsung,D428,GSM,GSM 900 / 1800 / 1900 ,,,,Class 8,No,2004  4Q,Discontinued,99 x 50 x 24 mm (3.90 x 1.97 x 0.94 in),127,4.48,Mini-SIM,TFT resistive touchscreen  256K colors,2.2 inches (~30.8% screen-to-body ratio),176 x 220 pixels| 7 lines (~128 ppi pixel density),,,,,No,,,VGA| 180 deg. rotating lens| LED flash,No,No,No,No,No,No,,No,,,Removable Li-Ion 820 mAh battery,Silver,,http://cdn2.gsmarena.com/vv/bigpic/ssd428.gif,0,False
Toshiba,G900,GSM / HSPA,GSM 900 / 1800 / 1900 ,HSDPA 850 / 1900 / 2100 ,,HSPA 3.6/0.384 Mbps,Class 10,Yes,2007  February,Discontinued,119 x 61 x 21.5 mm (4.69 x 2.40 x 0.85 in),198,6.98,Mini-SIM,TFT resistive touchscreen  65K colors,3.0 inches (~35.3% screen-to-body ratio),480 x 800 pixels (~311 ppi pixel density),Microsoft Windows Mobile 6 Professional,Marvell PXA270 520 MHz,,,miniSD,40 MB,128 MB RAM,2 MP| LED flash,VGA videocall camera,No,No,Wi-Fi 802.11b/g| VoIP over WLAN,2.0| A2DP,No,,No,miniUSB 1.1| USB host,Fingerprint (front-mounted),Removable Li-Ion 1320 mAh battery,Silver,410.0,http://cdn2.gsmarena.com/vv/bigpic/toshiba-g900.gif,26,False
Samsung,Galaxy C9 Pro,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 900 / 1900 / 2100 ,LTE band 1(2100)| 3(1800)| 5(850)| 40(2300)| 41(2500) - India,HSPA 42.2/5.76 Mbps  LTE-A (2CA) Cat6 300/50 Mbps,Yes,Yes,2016  October,Available. Released 2016  November,162.9 x 80.7 x 6.9 mm (6.41 x 3.18 x 0.27 in),189,6.67,Dual SIM (Nano-SIM| dual stand-by),Super AMOLED capacitive touchscreen  16M colors,6.0 inches (~75.5% screen-to-body ratio),1080 x 1920 pixels (~367 ppi pixel density),Android 6.0.1 (Marshmallow),Octa-core (4x1.95 GHz Cortex-A72 & 4x1.4 GHz Cortex-A53),Qualcomm MSM8976 Snapdragon 653,Adreno 510,microSD  up to 256 GB (dedicated slot),64 GB,6 GB RAM,16 MP| f/1.9| phase detection autofocus| dual-LED (dual tone) flash,16 MP| f/1.9| 1080p,Yes with stereo speakers,Yes,Wi-Fi 802.11 a/b/g/n/ac| dual-band| WiFi Direct| hotspot,4.2| A2DP| LE,Yes with A-GPS GLONASS/ BDS (region dependent),Yes,Stereo FM radio with RDS,Type-C 1.0 reversible connector,Fingerprint (front-mounted)| accelerometer| proximity| compass,Non-removable 4000 mAh battery,Gold| Pink Gold| Black,620.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-galaxy-c9-pro-.jpg,-1,True
Karbonn,K11+,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,No,No,2012,Available,-,61,2.15,Dual SIM (Mini-SIM),TFT  65K colors,2.4 inches,240 x 320 pixels (~167 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),,,VGA,No,Yes,No,No,Yes,No,,FM radio,Yes,,Removable Li-Ion 1000 mAh battery,Black/Red| White/Black,30.0,http://cdn2.gsmarena.com/vv/bigpic/karbonn-k11+.jpg,0,False
Panasonic,VS7,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,2005  1Q,Discontinued,102 x 51 x 18.8 mm| 89 cc (4.02 x 2.01 x 0.74 in),113,3.99,Mini-SIM,TFT  16M colors,,320 x 240 pixels,,,,,No,30 MB,,2 MP|,No,No,No,No,1.2,No,,No,Yes,,Removable Li-Ion 830 mAh battery (EB-BS001),,,http://cdn2.gsmarena.com/vv/bigpic/panasonic-vs7.gif,0,False
Oppo,U705T Ulike 2,GSM,GSM 850 / 900 / 1800 / 1900 , TD-SCDMA,,HSPA,Yes,Yes,2012  November,Available. Released 2012  December,127 x 63.7 x 9 mm (5.0 x 2.51 x 0.35 in),113,3.99,Micro-SIM,TFT capacitive touchscreen  16M colors,4.5 inches (~69.0% screen-to-body ratio),540 x 960 pixels (~245 ppi pixel density),Android 4.0.4 (Ice Cream Sandwich),Dual-core 1.0 GHz Cortex-A9,Mediatek MT6517,PowerVR SGX531u,No,16 GB,1 GB RAM,8 MP| autofocus| LED flash,5 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| hotspot,4.0| A2DP,Yes with A-GPS,,No,microUSB 2.0,Accelerometer| proximity| compass,Non-removable Li-Ion 2020 mAh battery,White,280.0,http://cdn2.gsmarena.com/vv/bigpic/oppo-u705t.jpg,0,False
Sagem,my300C,GSM,GSM 900 / 1800 ,,,,Class 10,No,2007  March,Discontinued,79.2 x 43.5 x 21.7 mm (3.12 x 1.71 x 0.85 in),79,2.79,Mini-SIM,CSTN  65K colors,,128 x 128 pixels,,,,,No,3 MB,,VGA,No,Yes,No,No,No,No,,No,Yes,,Removable Li-Ion battery,Black| Silver| Red,80.0,http://cdn2.gsmarena.com/vv/bigpic/sagem-my300c.gif,0,False
Nokia,2110,GSM,GSM 900 ,,,,No,No,1995,Discontinued,148 x 56 x 25 mm (5.83 x 2.20 x 0.98 in),236,8.32,Mini-SIM,Monochrome graphic,,4 x 13 characters,,,,,No,,,,,No,No,No,No,No,,No,,,Removable NiMH 550 mAh battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/no2110b.gif,0,False
Posh,Volt LTE L540,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1900 / 2100 ,LTE band 2(1900)| 3(1800)| 4(1700/2100)| 7(2600)| 17(700),HSPA 21.1/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2016  March,Available. Released 2016  May,143.8 x 72 x 10 mm (5.66 x 2.83 x 0.39 in),167.5,5.93,Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.0 inches (~66.6% screen-to-body ratio),720 x 1280 pixels (~294 ppi pixel density),Android 5.1 (Lollipop),Quad-core 1.0 GHz,Mediatek MT6735P,Mali-T720,microSD  up to 128 GB,16 GB,3 GB RAM,8 MP| f/2.4| autofocus| LED flash,"5 MP| f/2.2| 1/5"" sensor size| 1.12 µm pixel size",Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP| LE,Yes with A-GPS,,FM radio,microUSB 2.0,Accelerometer| proximity,Non-removable Li-Po 4000 mAh battery,Grey| Gold| Rose Gold,,http://cdn2.gsmarena.com/vv/bigpic/posh-Volt_LTE_L540.jpg,0,False
Nokia,6070,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,Class 6,2006  February,Discontinued,105.4 x 44.3 x 18.6 mm (4.15 x 1.74 x 0.73 in),88,3.1,Mini-SIM,CSTN  65K colors,1.8 inches| 28 x 35 mm (~21.8% screen-to-body ratio),128 x 160 pixels (~114 ppi pixel density),,,,,No,3.2 MB,,VGA,No,Yes,No,No,No,No,,Stereo FM radio,Pop-Port,,Removable Li-Ion 760 mAh battery (BL-5B),Silver,90.0,http://cdn2.gsmarena.com/vv/bigpic/nokia-6070.gif,0,False
alcatel,2052,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,HSPA,Yes,Yes,2014,Available. Released 2014,108.5 x 44.8 x 13 mm (4.27 x 1.76 x 0.51 in),74,2.61,Mini-SIM,TFT,1.8 inches (~21.0% screen-to-body ratio),128 x 160 pixels (~114 ppi pixel density),,460 MHz,,,microSD  up to 32 GB (dedicated slot),128 MB,,VGA,No,Yes,Yes,No,Yes,No,,FM radio,microUSB,,Removable Li-Ion 750 mAh battery,Black,50.0,http://cdn2.gsmarena.com/vv/bigpic/alcatel-2052.jpg,0,False
Philips,Spark,GSM,GSM 900 ,,,,No,No,1997,Discontinued,139 x 56 x 23 mm (5.47 x 2.20 x 0.91 in),129,4.55,Mini-SIM,Monochrome graphic,,5 lines,,,,,No,,,,,No,No,No,No,No,,No,,,Removable Li-Ion 4000 mAh battery,,,http://cdn2.gsmarena.com/vv/bigpic/phsparkb.gif,0,False
Modu,Express jacket,GSM,GSM 900 / 1800 / 1900 ,,,,Class 10,No,2009. Released 2009,Discontinued,102.9 x 50 x 12.9 mm (4.05 x 1.97 x 0.51 in),,,Mini-SIM,AMOLED  65K colors,1.3 inches (~10.2% screen-to-body ratio),128 x 96 pixels (~123 ppi pixel density),,,,,No,1.6 GB,,,,Yes,No,No,1.2,No,,No,Yes,,Removable Li-Po 530 mAh battery,6 patterns variety,,http://cdn2.gsmarena.com/vv/bigpic/modu-express-jacket.jpg,0,False
Celkon,C60,GSM,GSM 900 / 1800 - SIM 1 & SIM 2,,,,Yes,No,2012,Available,100 x 47 x 14.8 mm (3.94 x 1.85 x 0.58 in),74,2.61,Dual SIM (Mini-SIM),TFT,2.0 inches (~26.8% screen-to-body ratio),176 x 220 pixels (~141 ppi pixel density),,,,,microSD  up to 8 GB (dedicated slot),,,1.3 MP,No,Yes,,No,Yes,No,,Stereo FM radio,Yes,,Removable Li-Ion 1000 mAh battery,Black| White,,http://cdn2.gsmarena.com/vv/bigpic/celkon-c60.jpg,0,False
Yezz,Andy C5V,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 ,HSDPA 850 / 1900 ,LTE band 3(1800)| 7(2600)| 20(800),HSPA 21.1/5.76 Mbps  LTE Cat3 100/50 Mbps,Class 12,Class 12,2014  June,Available. Released 2014  August,144.2 x 73.2 x 9.3 mm (5.68 x 2.88 x 0.37 in),180,6.35,Micro-SIM,IPS LCD capacitive touchscreen  16M colors,5.0 inches (~65.3% screen-to-body ratio),540 x 960 pixels (~220 ppi pixel density),Android 4.4.2 (KitKat),Quad-core 1.3 GHz Cortex-A7,Mediatek MT6582M,Mali-400MP2,microSD  up to 64 GB (dedicated slot),4 GB,1 GB RAM,8 MP| autofocus| LED flash,2 MP,Yes,Yes,Wi-Fi 802.11 a/b/g/n| dual-band| hotspot,4.0| A2DP,Yes with A-GPS,,Stereo FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Po 2020 mAh battery,Black| White,,http://cdn2.gsmarena.com/vv/bigpic/yezz-andy-c5v.jpg,0,False
Motorola,EX122,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,Class 10,2010  October. Released 2010  October,Discontinued,107 x 57 x 12.8 mm (4.21 x 2.24 x 0.50 in),97,3.42,Mini-SIM,TFT resistive touchscreen  256K colors,3.2 inches (~47.8% screen-to-body ratio),240 x 400 pixels (~146 ppi pixel density),,,,,microSD (dedicated slot),128 MB ROM,64 MB RAM,3.15 MP,No,Yes,Yes,No,2.1| A2DP,No,,Stereo FM radio| RDS,microUSB 2.0,,Removable Li-Ion 910 mAh battery,Black,80.0,http://cdn2.gsmarena.com/vv/bigpic/motorola-EX122.jpg,0,False
LG,SU920,GSM,GSM 850 / 900 / 1800 / 1900 , TD-SCDMA,,TD-SCDMA,Class 10,Class 10,2010  April. Released 2010  July,Discontinued,109.3 x 52.5 x 11.7 mm (4.30 x 2.07 x 0.46 in),97,3.42,Mini-SIM,TFT touchscreen  256K colors,3.0 inches (~44.6% screen-to-body ratio),240 x 400 pixels (~155 ppi pixel density),,,,,microSD  up to 32 GB (dedicated slot),,,3.2 MP| autofocus,No,Yes,Yes,No,2.1| A2DP,No,,No,microUSB 2.0,Accelerometer,Removable Li-Ion 900 mAh battery,Black| White| Pink,,http://cdn2.gsmarena.com/vv/bigpic/lg-su920.jpg,0,False
BLU,Studio 6.0 LTE,GSM / HSPA / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 850 / 1700 / 1900 / 2100 ,LTE band 4(1700/2100)| 7(2600),HSPA 42.2/5.76 Mbps  LTE Cat4 150/50 Mbps,Yes,Yes,2014  December,Available. Released 2014  December,163.5 x 81.4 x 9.2 mm (6.44 x 3.20 x 0.36 in),177,6.24,Dual SIM (Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,6.0 inches (~74.6% screen-to-body ratio),1080 x 1920 pixels (~367 ppi pixel density),Android 4.4.2 (KitKat),Quad-core 1.6 GHz Cortex-A7,Qualcomm MSM8928 Snapdragon 400,Adreno 305,microSD  up to 64 GB,16 GB,2 GB RAM,13 MP| autofocus| LED flash,5 MP,Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,3,Yes with A-GPS,,Stereo FM radio,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion 3200 mAh battery,Black| White,210.0,http://cdn2.gsmarena.com/vv/bigpic/blu-s6-lte.jpg,0,False
HTC,Ignite,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 ,HSDPA 900 / 2100 ,,HSPA,Yes,Yes,Not officially announced yet,Cancelled,-,,,Mini-SIM,S-LCD capacitive touchscreen  16M colors,3.7 inches,480 x 800 pixels (~252 ppi pixel density),Microsoft Windows Phone 7,800 MHz,,,No,,512 MB RAM,5 MP| autofocus,No,Yes,Yes,Wi-Fi 802.11 b/g/n,2.1| A2DP,Yes with A-GPS; Bing Maps,,Stereo FM radio| RDS,microUSB 2.0,Accelerometer| proximity,Removable Li-Ion battery,Black,,http://cdn2.gsmarena.com/vv/bigpic/htc-ignite.jpg,0,False
Philips,X320,GSM,GSM 900 / 1800 / 1900 ,,,,Class 12,Class 10,2009  November. Released 2009  December,Discontinued,-,,,Mini-SIM,TFT  256K colors,2.2 inches,240 x 320 pixels (~182 ppi pixel density),,,,,microSD  up to 2 GB (dedicated slot),5 MB,,2 MP,No,Yes,No,No,2.0| A2DP,No,,FM radio| RDS| built-in antenna| recording,miniUSB 1.1,,Removable Li-Ion 1050 mAh battery,Grey,,http://cdn2.gsmarena.com/vv/bigpic/philips-x320.jpg,0,False
Wiko,Sunny,GSM / HSPA,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,HSDPA 900 / 2100 ,,HSPA 21.1/5.76 Mbps,Up to 107 kbps,Up to 296 kbps,2016  February,Available. Released 2016  May,128.4 x 66.2 x 11.3 mm (5.06 x 2.61 x 0.44 in),123,4.34,Mini-SIM,TFT capacitive touchscreen  16M colors,4.0 inches (~53.6% screen-to-body ratio),480 x 800 pixels (~233 ppi pixel density),Android 6.0 (Marshmallow),Quad-core 1.3 GHz Cortex-A7,Mediatek MT6580M,Mali-400MP2,microSD  up to 64 GB,8 GB,512 MB RAM,5 MP| f/2.2| LED flash,"VGA| f/2.8| 1/10"" sensor size| 2.2µm pixel size",Yes,Yes,Wi-Fi 802.11 b/g/n| Wi-Fi Direct| hotspot,4.0| A2DP,Yes with A-GPS,,FM radio,microUSB 2.0| USB Host,Accelerometer| proximity,Li-Ion 1200 mAh battery,True Black| Pure White| Flashy Red| Bleen| Hot Pink,,http://cdn2.gsmarena.com/vv/bigpic/wiko-sunny.jpg,0,False
verykool,i130,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2,,,,Class 12,No,2012  October,Available. Released 2012  October,107 x 45 x 12 mm (4.21 x 1.77 x 0.47 in),63,2.22,Dual SIM (Mini-SIM),TFT,1.8 inches (~21.2% screen-to-body ratio),128 x 160 pixels (~114 ppi pixel density),,,,,microSD (dedicated slot),,,VGA,No,Yes,No,No,Yes,No,,FM radio,,,Removable Li-Ion battery,Black| White| White/Green| White/Blue,,http://cdn2.gsmarena.com/vv/bigpic/verykool-i130.jpg,0,False
Samsung,E1210,GSM,GSM 900 / 1800 ,,,,No,No,2009  April. Released 2009  August,Discontinued,108 x 43.5 x 14.3 mm (4.25 x 1.71 x 0.56 in),72.5,2.54,Mini-SIM,CSTN  65K colors,1.77 inches (~21.0% screen-to-body ratio),128 x 160 pixels (~116 ppi pixel density),,,,,No,500 KB,,,,Yes,No,No,No,No,,FM radio,Yes,,Removable Li-Ion 800 mAh battery,Black,40.0,http://cdn2.gsmarena.com/vv/bigpic/samsung-e1210.jpg,0,False
Oppo,U3,GSM / LTE,GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2, TD-SCDMA,LTE band 38(2600)| 39(1900)| 40(2300)| 41(2500),HSPA  LTE,Yes,Yes,2015  January,Available. Released 2015  April,156.8 x 81 x 8 mm (6.17 x 3.19 x 0.31 in),195,6.88,Dual SIM (Nano-SIM/ Micro-SIM| dual stand-by),IPS LCD capacitive touchscreen  16M colors,5.9 inches (~74.0% screen-to-body ratio),1080 x 1920 pixels (~377 ppi pixel density),Android 4.4.4 (KitKat),Octa-core 1.7 GHz Cortex-A53,Mediatek MT6752,Mali-T760MP2,microSD  up to 32 GB (dedicated slot),16 GB,2 GB RAM,13 MP| autofocus| LED flash,5 MP| 1080p| LED flash,Yes,Yes,Wi-Fi 802.11 a/b/g/n| dual-band| hotspot,4.0| A2DP,Yes with A-GPS,Yes,No,microUSB 2.0,Accelerometer| proximity| compass,Non-removable Li-Ion 3000 mAh battery,White| Black,,http://cdn2.gsmarena.com/vv/bigpic/oppo-u3-new.jpg,-1,True
Bird,S890,GSM,GSM 900 / 1800 ,,,,Class 10,No,2005  3Q,Cancelled,,,,Mini-SIM,TFT  256K colors,,128 x 160 pixels,,,,,No,,,1.3 MP,No,Yes,No,No,No,No,,No,Yes,,Removable Li-Ion battery,,,http://cdn2.gsmarena.com/vv/bigpic/bird-s890.gif,0,False
Motorola,C117,GSM,GSM 900 / 1800 ,,,,No,No,2005  3Q,Discontinued,107 x 45 x 19.5 mm| 73 cc (4.21 x 1.77 x 0.77 in),84,2.96,Mini-SIM,Monochrome graphic,,96 x 64 pixels,,,,,No,,,,,No,No,No,No,No,,No,No,,Removable Li-Ion battery,Shadow Anthracite| Cosmic Universe Blue,,http://cdn2.gsmarena.com/vv/bigpic/motorola-c117.gif,0,False
Gigabyte,GSmart S1205,GSM,GSM 850 / 900 / 1800 / 1900 - SIM 1,,,,Class 12,Class 10,2010  March. Released 2010  April,Discontinued,110.6 x 55 x 13.1 mm (4.35 x 2.17 x 0.52 in),,,Dual SIM (Mini-SIM| dual stand-by),TFT resistive touchscreen  65K colors,3.2 inches (~47.9% screen-to-body ratio),240 x 400 pixels (~146 ppi pixel density),Microsoft Windows Mobile 6.5 Professional,416 MHz Media Tek MT6516,,,microSD  up to 16 GB (dedicated slot),256 MB ROM,128 MB RAM,3.15 MP| ,No,Yes,Yes,Wi-Fi 802.11 b/g,2.1| A2DP,Yes with A-GPS,,Stereo FM radio,microUSB 2.0,,Removable Li-Po 1320 mAh battery,Black,150.0,http://cdn2.gsmarena.com/vv/bigpic/gigabyte-gsmart-s1205.jpg,-1,True
Asus,VivoTab RT TF600T,No cellular connectivity, N/A,,,,No,No,2012  October,Available. Released 2012  November,262.5 x 170.9 x 8.3 mm (10.33 x 6.73 x 0.33 in),525,1.16,No,Super IPS+ LCD capacitive touchscreen  16M colors,10.1 inches (~62.7% screen-to-body ratio),1366 x 768 pixels (~155 ppi pixel density),Microsoft Windows RT,Quad-core 1.3 GHz Cortex-A9,Nvidia Tegra 3 T30,ULP GeForce,microSD  up to 64 GB (dedicated slot),32/64 GB,2 GB RAM,8 MP| autofocus| LED flash,2 MP,Yes with quad speakers,Yes,Wi-Fi 802.11 b/g/n,4.0| A2DP,No,Yes,No,USB 2.0| USB Host,Accelerometer| gyro| compass,Non-removable Li-Po battery (25 Wh),Gray,420.0,http://cdn2.gsmarena.com/vv/bigpic/asus-vivotab-rt.jpg,74,False
BenQ-Siemens,S81,GSM / UMTS,GSM 900 / 1800 / 1900 ,UMTS 2100 ,,Yes  384 kbps,Class 10,No,2006  February,Discontinued,109 x 48 x 13 mm (4.29 x 1.89 x 0.51 in),99,3.49,Mini-SIM,TFT  256K colors,2.0 inches| 31 x 39 mm (~24.1% screen-to-body ratio),176 x 220 pixels (~141 ppi pixel density),,,,,microSD (dedicated slot),30 MB,,1.3 MP| LED flash,VGA videocall camera,No,No,No,1.1,No,,No,Yes,,Removable Li-Ion 920 mAh battery,Black/Silver,,http://cdn2.gsmarena.com/vv/bigpic/benqsiemens-s81.gif,0,False
Motorola,ROKR W6,GSM,GSM 850 / 900 / 1800 / 1900 ,,,,Class 10,Class 10,2009  April. Released 2009  May,Discontinued,99 x 46 x 17.5 mm (3.90 x 1.81 x 0.69 in),107,3.77,Mini-SIM,TFT  256K colors,1.9 inches (~24.9% screen-to-body ratio),176 x 220 pixels (~148 ppi pixel density),,,,,microSD  up to 2 GB (dedicated slot),20 MB,,1.3 MP,No,Yes,No,No,2.0| A2DP,No,,No,miniUSB,,Removable Li-Ion 880 mAh battery,,70.0,http://cdn2.gsmarena.com/vv/bigpic/motorola-motorokr-w6.jpg,0,False
