name,addr,city,phone,type,cluster_label,is_outlier
mel's drive-in,3355 geary st.,san francisco,415-387-2244,hamburgers,0,False
boulevard,1 mission st.,san francisco,415-543-6084,american (new),1,False
tra di noi,3835 cross creek rd.,los angeles,310/456-0169,italian,2,False
tang pavillion,65 w. 55th st.,new york,212/956-6888,asian,3,False
water club,500 e. 30th st.,new york,212/683-3333,american,4,False
palace court,3570 las vegas blvd. s,las vegas,702/731-7547,continental,5,False
mary mac's tea room,224 ponce de leon ave.,atlanta,404-876-1800,southern/soul,6,False
cafe bizou,14016 ventura blvd.,sherman oaks,818/788-3536,french,-1,True
van gogh's restaurant & bar,70 w. crossville rd.,roswell,770-993-1156,american (new),-1,True
pamir,1065 1st ave.  at 58th st.,new york,212/644-9258,middle eastern,7,False
gramercy tavern,42 e. 20th st.,new york city,212-477-0777,american (new),4,False
izzy's steak & chop house,3345 steiner st.,san francisco,415/563-0487,steak houses,8,False
big cup,228 8th ave.  between 21st and 22nd sts.,new york,212/206-0059,coffee bar,9,False
grand cafe hotel monaco,501 geary st.,san francisco,415/292-0101,american,10,False
steak house  the,2880 las vegas blvd. s.,las vegas,702-734-0410,steakhouses,5,False
canter's,419 n. fairfax ave.,los angeles,213/651-2030.,american,4,False
ritz-carlton restaurant and dining room,600 stockton st.,san francisco,415/296-7465,american,10,False
duane park cafe,157 duane st.  between w. broadway and hudson st.,new york,212/732-5555,american,4,False
fraunces tavern,54 pearl st. at broad st.,new york,212/269-0144,american,4,False
virgil's,152 w. 44th st.,new york,212/ 921-9494,american,4,False
roettelle a. g,126 e. 7th st.  between 1st ave. and ave. a,new york,212/674-4140,continental,11,False
au mandarin,200-250 vesey st. world financial center,new york,212/385-0313,asian,3,False
tse yang,34 e. 51st st.,new york,212/688-5447,asian,3,False
spago (los angeles),8795 sunset blvd.,w. hollywood,310-652-4025,californian,-1,True
stringer's fish camp and oyster bar,3384 shallowford rd.  chamblee,atlanta,770/458-7145,southern,6,False
pisces,95 ave. a at 6th st.,new york,212/260-6660,seafood,12,False
cassis,3300 peachtree rd.  grand hyatt,atlanta,404/365-8100,mediterranean,13,False
carmine's,2450 broadway  between 90th and 91st sts.,new york,212/362-2200,italian,14,False
arizona,206 206 e. 60th st.,new york,212/838-0440,american,4,False
caffe dell'artista,46 greenwich ave.,new york,212/645-4431,coffee bar,9,False
buccaneer bay club,3300 las vegas blvd. s.,las vegas,702-894-7350,continental,5,False
le chardonnay,8284 melrose ave.,los angeles,213/655-8880,french,15,False
caffe vivaldi,32 jones st. at bleecker st.,new york,212/691-7538,coffee bar,9,False
ocean star,145 n. atlantic blvd.,monterey park,818-308-2128,seafood,-1,True
perry's,1944 union st.,san francisco,415/922-9022,american,10,False
aureole,34 e. 61st st.,new york city,212-319-1660,american (new),4,False
koo koo roo,8393 w. beverly blvd.,la,213-655-9045,chicken,-1,True
bradshaw's restaurant,2911 s. pharr court,atlanta,404-261-7015,southern/soul,6,False
benny's burritos,93 ave. a,new york city,212-254-2054,mexican,-1,True
orleans,11705 national blvd.,los angeles,310/479-4187,cajun,-1,True
le select,507 columbus ave.  between 84th and 85th sts.,new york,212/875-1993,american,4,False
il fornaio levi's plaza,1265 battery st.,san francisco,415/986-0100,italian,16,False
veselka,144 second ave.,new york city,212-228-9682,ukrainian,17,False
sammy's roumanian steak house,157 chrystie st. at delancey st.,new york,212/673-0330,east european,18,False
grill on the alley,9560 dayton way,los angeles,310/276-0615,american,4,False
sanppo,1702 post st.,san francisco,415/346-3486,asian,1,False
cafe bianco,1486 2nd ave.  between 77th and 78th sts.,new york,212/988-2655,coffee bar,9,False
le bernardin,155 w. 51st st.,new york city,212-489-1515,seafood,19,False
chanterelle,2 harrison st.,new york city,212-966-6960,french (new),-1,True
restaurant horikawa,111 s. san pedro st.,los angeles,213/680-9355,asian,20,False
9 jones street,9 jones st.,new york,212/989-1220,american,4,False
maxwell's cafe,13329 washington blvd.,marina del rey,310-306-7829,american,-1,True
osteria al droge,142 w. 44th st.,new york,212/944-3643,italian,14,False
le central,453 bush st.,san francisco,415/391-2233,french,10,False
restaurant  ritz-carlton  atlanta,181 peachtree st.,atlanta,404/659-0400,continental,21,False
battista's hole in the wall,4041 audrie st. at flamingo rd.,las vegas,702/732-1424,italian,5,False
bally's big kitchen,3645 las vegas blvd. s,las vegas,702/739-4111,buffets,22,False
rose pistola,532 columbus ave.,san francisco,415-399-0499,italian,16,False
circus circus,2880 las vegas blvd. s,las vegas,702/734-0410,buffets,22,False
